Sehir,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Erzincan,"28.472,50","22.144,13","12.782,25","6.364,50","3.107,00","2.271,50","1.741,63","1.471,00","1.259,00","1.165,00","1.095,75","1.064,75",,,,
Trabzon,"28.262,67","23.628,38","16.127,00","7.006,75","2.987,38","2.308,75","1.966,80","1.854,98","1.665,90","1.388,00","1.245,50","1.103,50","1.030,75","956,50","895,00","824,38"
Nevşehir,"28.046,33","23.264,13","15.713,63","7.554,75","3.158,13","2.231,75","1.524,75","1.336,25","1.186,75","1.092,00","1.063,38","1.010,25","934,50","866,50","799,75","735,63"
Karabük,"27.829,00","22.123,88","14.605,88","6.251,25","2.768,63","2.140,25","1.664,75","1.480,88","1.373,25","1.319,13","1.309,50","1.189,88","1.166,00","1.100,00","930,38","736,88"
Diyarbakır,"27.767,63","18.620,43","13.088,65","7.312,23","2.906,48","1.922,38","1.482,85","1.340,20","1.202,23","1.126,95","1.067,33","989,30","933,75","880,00","726,25","636,25"
Tokat,"27.465,33","22.169,25","14.111,13","6.383,38","2.800,13","2.117,00","1.717,63","1.585,25","1.345,25","1.181,63","1.056,25","929,00","877,50","801,50","712,88","667,13"
Kütahya,"27.293,17","20.605,50","12.803,38","6.137,63","2.617,50","2.016,63","1.649,88","1.467,00","1.344,00","1.219,50","1.176,13","1.090,38","1.012,88","895,75","768,88","672,00"
Van,"27.230,33","21.135,75","13.997,25",,,,,,,,,,,,,
Afyonkarahisar,"26.912,00","21.421,75","13.697,50","6.504,75","2.790,00","2.184,50","1.817,50","1.666,25","1.533,75","1.422,75","1.274,25","1.124,00","1.053,50","1.001,88","881,38","788,38"
Bilecik,"26.836,83","21.579,00","13.353,50","6.019,00","2.625,88","1.944,50","1.570,63","1.468,78","1.272,00","1.125,25","1.051,88","969,75","898,50","751,88","678,38","617,75"
Gaziantep,"26.535,30","21.554,88","15.629,68","9.148,00","4.090,75","2.813,93","2.110,80","1.898,83","1.739,08","1.678,05","1.643,08","1.571,43","1.362,03","1.108,23","852,30","693,05"
Artvin,"26.274,33","21.478,75","13.191,63","5.775,38","2.726,50","2.127,88","1.629,75","1.436,88","1.308,50","1.217,75","1.152,38","1.047,75","991,88","912,88","814,13","812,75"
Karaman,"26.023,17","20.245,63","13.464,50","6.037,25","2.623,50","2.042,00","1.638,00","1.571,88","1.388,38","1.245,00","1.122,50","1.022,50","921,25","787,63","698,50","609,00"
Aksaray,"25.680,17","19.542,75","13.715,13","6.717,88","2.887,88","2.152,13","1.737,25","1.559,25","1.341,00","1.155,00","1.041,00","951,50","890,13","795,00","712,88","666,00"
